Time,Water_balance,Pollutant_balance,C_battery_charge,E_use_renewable,E_use_grid,Q_Infiltration,c_Infiltration,Q_Sewer,c_Sewer,Q_CityWater,Q_Roof,Q_BS,Q_BT,Q_CL,Q_DW,Q_GA,Q_KS,Q_SH,Q_TL,Q_WM
2015-01-01T00:00:00.000+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001389987797916401,187.50684022963154,0.001389987797916401,0.0,0.0,0.000010930670758243648,0.000060416668467223644,0.00005313233196735381,0.0,0.0003950273376703262,0.0000510097968718037,0.00081947099218145,0.0
2015-01-01T00:15:00.000+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014858064124942759,200.16573490299155,0.0014858064124942759,0.0,0.0002858450541272759,0.000012563990789931268,0.000060416668467223644,0.000044326197132468216,0.0,0.00032955563955008985,0.000058631957019679245,0.0006944669054076075,0.0
2015-01-01T00:30:00.000+01:00,0.0,-1.1102230246251566e-16,0.0,0.0,0.0,0.0,0.0,0.0012446787079377097,203.00606705236795,0.0012446787079377097,0.0,0.00024010983338579534,0.00002110751326661557,0.000060416668467223644,0.000029787200689315794,0.0,0.0002214613616466522,0.00009850172857753932,0.000573294401904568,0.0
2015-01-01T00:45:00.000+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010314254075987264,206.04522795127716,0.0010314254075987264,0.0,0.00020009151775389909,0.000028583089630119503,0.000060416668467223644,0.00001654844811186194,0.0,0.00012303411422297358,0.00013338775160722432,0.00046936381780542433,0.0
2015-01-01T01:00:00.000+01:00,8.673617379884036e-19,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0007973558086622506,212.64030539474215,0.0007973558086622506,0.0,0.00015771188750863074,0.00003053050294518471,0.000060416668467223644,0.000006382972456049173,0.0,0.000047456012608017773,0.00014247568041086196,0.0003523820842662826,0.0
2015-01-01T01:15:00.000+01:00,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0005696116190290195,223.46043174026483,0.0005696116190290195,0.0,0.0001133437759708613,0.00002566195600200444,0.000060416668467223644,5.614647221227642e-7,0.0,0.000004174368151434465,0.00011975579467602073,0.0002456975910393521,0.0
2015-01-01T01:30:00.000+01:00,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0003544798520079348,250.76388142165824,0.0003544798520079348,0.0,0.00006698716803919523,0.0000152024319965858,0.000060416668467223644,0.0,0.0,0.0,0.00007094468265073373,0.00014092890085419638,0.0
2015-01-01T01:45:00.000+01:00,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.00024519654569798153,279.98456058811146,0.00024519654569798153,0.0,0.00004523807776626199,0.000008355055855354293,0.000060416668467223644,0.0,0.0,0.0,0.00003899026065832004,0.00009219648295082152,0.0
2015-01-01T02:00:00.000+01:00,0.0,-6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.00010887448541878256,396.8520204298075,0.00010887448541878256,0.0,0.00001541077909641899,0.0,0.000060416668467223644,0.0,0.0,0.0,0.0,0.00003304703785513993,0.0
2015-01-01T02:15:00.000+01:00,-1.734723475976807e-18,-6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.00006041886726721029,599.9876408656891,0.00006041886726721029,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10
2015-01-01T02:30:00.000+01:00,-3.469446951953614e-18,-6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.00006041886726721029,599.9876408656891,0.00006041886726721029,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10
2015-01-01T02:45:00.000+01:00,-4.336808689942018e-18,-8.881784197001253e-16,0.0,0.0,0.0,0.0,0.0,0.00011553454127250006,388.8600017464717,0.00011553454127250006,0.0,0.0000044740860542515299,3.1436400400707495e-7,0.000060416668467223644,0.00000147753935016226,0.0,0.000010985183864249849,0.000001467032018699683,0.00003639966751390602,0.0
2015-01-01T03:00:00.000+01:00,-5.204170427930421e-18,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.00014156301096256355,345.1779371851674,0.00014156301096256355,0.0,0.000010066726184450089,0.0,0.000060416668467223644,0.0000020390039953053929,0.0,0.000015159551443357488,0.0,0.000053881060872226945,0.0
2015-01-01T03:15:00.000+01:00,-6.071532165918825e-18,-6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.00014383189843250873,348.8906459624138,0.00014383189843250873,0.0,0.000010439562651445156,0.0,0.000060416668467223644,0.000002482269033498596,0.0,0.000018455130640359132,0.0,0.00005100740763824432,0.0000010308600017378922
2015-01-01T03:30:00.000+01:00,-5.204170427930421e-18,-6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.00014707909015174663,351.64581118751416,0.00014707909015174663,0.0,0.000010066726184450089,0.0,0.000060416668467223644,0.0000031914834567578507,0.0,0.000023727985700243153,0.0,0.000048133754404261704,0.000001542471938810195
2015-01-01T03:45:00.000+01:00,-5.204170427930421e-18,-1.3322676295501879e-15,0.0,0.0,0.0,0.0,0.0,0.00012010775736365758,395.54297119053475,0.00012010775736365758,0.0,0.000006711150789633393,0.0,0.000060416668467223644,0.000002541368913953192,0.0,0.00001889452540373895,0.0,0.000030173381769563998,0.0000013706620195443975
