Time,Water_balance,Pollutant_balance,BW_V,BW_c,PW_V,PW_c,RW_V,RW_c,Q_ROPW,C_battery_charge,E_use_renewable,E_use_grid,Q_Infiltration,c_Infiltration,Q_Sewer,c_Sewer,Q_CityWater,Q_Roof,Q_BS,Q_BT,Q_CL,Q_DW,Q_GA,Q_KS,Q_SH,Q_TL,Q_WM,Q_RWPW_Treat,Q_CWPW_Fill,Q_RW_infil_Infiltrate,Q_BW_infil_Treat,Q_RainRefillControl_Tap
2015-01-01T01:15:00.000+01:00,-5.489532439728606e-15,-6.872280522429719e-14,0.0035171758034080269,143.95618381223464,0.9966739380535643,70.00000000000002,9.996482824196598,69.99999999999997,0.0,1.9988119378906527,0.00008900181547328429,0.0,0.0,0.0,0.0002634973595224437,252.24502533417314,0.0,0.0,0.0001133437759708613,0.00002566195600200444,0.000060416668467223644,5.614647221227642e-7,0.0,0.000004174368151434465,0.00011975579467602073,0.0002456975910393521,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:30:00.000+01:00,-5.552416165732765e-15,-9.392486788328824e-14,0.003718521372729447,149.02293076133803,0.9965208037708777,70.00000000000002,9.996281478627277,69.99999999999997,0.0,1.998750396249679,0.00005538747687623981,0.0,0.0,0.0,0.00015313428268651474,251.7258169318181,0.0,0.0,0.00006698716803919523,0.0000152024319965858,0.000060416668467223644,0.0,0.0,0.0,0.00007094468265073373,0.00014092890085419638,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:45:00.000+01:00,-5.988265439071938e-15,-2.0439205883349132e-13,0.003871134524147492,154.3064743018738,0.9964282203765977,70.00000000000002,9.996128865475859,69.99999999999997,0.0,1.99870782740494,0.000038311960265309604,0.0,0.0,0.0,0.00009258339427993633,250.38612928214344,0.0,0.0,0.00004523807776626199,0.000008355055855354293,0.000060416668467223644,0.0,0.0,0.0,0.00003899026065832004,0.00009219648295082152,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:00:00.000+01:00,-7.361299070307581e-15,-7.149836278586008e-14,0.003964598230469856,160.14689324945074,0.9964128095975013,70.00000000000002,9.996035401769538,69.99999999999996,0.0,1.9986889255845549,0.000017011638346684773,0.0,0.0,0.0,0.00001541077909641899,237.0,0.0,0.0,0.00001541077909641899,0.0,0.000060416668467223644,0.0,0.0,0.0,0.0,0.00003304703785513993,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:15:00.000+01:00,-9.19533546528406e-15,-1.588729148238599e-13,0.004025015388837077,166.29890136947459,0.9964128082704015,70.0,9.995974984229373,69.99999999999996,0.0,1.9986784361978767,0.000009440448010501606,0.0,0.0,0.0,1.70889998961421e-9,306.3755047106326,0.0,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:30:00.000+01:00,-1.102937186026054e-14,-1.325606291402437e-13,0.004085432547204298,172.26895233095065,0.9964128069433016,69.99999999999997,9.995914566689207,69.99999999999995,0.0,1.9986679468111986,0.000009440448010501606,0.0,0.0,0.0,1.70889998961421e-9,306.3755047106326,0.0,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:45:00.000+01:00,-1.0864139449173749e-14,-3.7692071686024065e-13,0.004182248883185429,177.3420652098733,0.99639408873801,69.99999999999999,9.995817750353226,69.99999999999996,0.0,1.9986478887311166,0.000018052272073828137,0.0,0.0,0.0,0.000018718205291370396,269.0853108443837,0.0,0.0,0.0000044740860542515299,3.1436400400707495e-7,0.000060416668467223644,0.00000147753935016226,0.0,0.000010985183864249849,0.000001467032018699683,0.00003639966751390602,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T03:00:00.000+01:00,-1.2296153678592603e-14,-2.2226664952995634e-13,0.00429654661252488,181.83088103770579,0.9963668234563869,69.99999999999997,9.995703452623888,69.99999999999995,0.0,1.9986233118194912,0.000022119220462900556,0.0,0.0,0.0,0.00002726528162311297,265.0374581899146,0.0,0.0,0.000010066726184450089,0.0,0.000060416668467223644,0.0000020390039953053929,0.0,0.000015159551443357488,0.0,0.000053881060872226945,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T03:15:00.000+01:00,-1.3214689759122323e-14,-1.5054624213917123e-13,0.004407970688630348,186.1464421356839,0.9963354464940616,69.99999999999997,9.995590997687782,69.99999999999993,0.0,1.998598341003791,0.00002247373413007949,0.0,0.0,0.0,0.000032407822327040775,272.4916849038402,0.0,0.0,0.000010439562651445156,0.0,0.000060416668467223644,0.000002482269033498596,0.0,0.000018455130640359132,0.0,0.00005100740763824432,0.0000010308600017378922,0.0,0.0,0.0,0.0,0.0
2015-01-01T03:30:00.000+01:00,-1.4080750454503743e-14,-2.0805579481475434e-13,0.004516521111501834,190.30980863406803,0.9962984602987202,69.99999999999997,9.995480904792972,69.99999999999993,0.0,1.998572806439529,0.000022981107836210412,0.0,0.0,0.0,0.00003852866728026129,276.58287183557709,0.0,0.0,0.000010066726184450089,0.0,0.000060416668467223644,0.0000031914834567578507,0.0,0.000023727985700243153,0.0,0.000048133754404261704,0.000001542471938810195,0.0,0.0,0.0,0.0,0.0
2015-01-01T03:45:00.000+01:00,-1.4586422347750984e-14,-1.5587531265737198e-13,0.004607111161738622,194.6647713135751,0.9962703132536128,69.99999999999996,9.995388944080716,69.99999999999992,0.0,1.9985519543983202,0.000018766837088071493,0.0,0.0,0.0,0.000029517707126869933,279.16937850030708,0.0,0.0,0.000006711150789633393,0.0,0.000060416668467223644,0.000002541368913953192,0.0,0.00001889452540373895,0.0,0.000030173381769563998,0.0000013706620195443975,0.0,0.0,0.0,0.0,0.0
2015-01-01T04:00:00.000+01:00,-1.5314572526792248e-14,-1.5432100042289676e-13,0.0046823750328782369,199.19169640346855,0.9962548691780613,69.99999999999996,9.995313680209577,69.99999999999992,0.0,1.9985362064909085,0.000014173116670508534,0.0,0.0,0.0,0.00001544407555164071,271.4333629293399,0.0,0.0,0.000003479846981063019,0.0,0.000060416668467223644,0.000001418439469707664,0.0,0.000010545789100870025,0.0,0.000014847202672390266,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T04:15:00.000+01:00,-1.6933503210747604e-14,-1.7386092565629951e-13,0.004789488626281138,202.85337552745237,0.9961432023010813,69.99999999999999,9.995206566616176,69.9999999999999,0.0,1.998498223770356,0.000034184448497308035,0.0,0.0,0.0,0.00011166687697987072,265.0991294150582,0.0,0.0,0.00001180663850624114,0.000012563990789931268,0.000060416668467223644,0.0000033983437385177234,0.0,0.00002526594692550134,0.000058631957019679245,0.00004669692493567709,0.0,0.0,0.0,0.0,0.0,0.0
