Time,V_PW,V_RW,V_PGW,V_GW,V_BW,c_PW,c_RW,c_PGW,c_GW,c_BW,C_battery_charge,E_use_renewable,E_use_grid,Q_ROPW,Q_MBRGW,Q_MBRBW,Q_ROGWBW,c_infil,Q_infil,c_infil_avg,V_infil,Q_RW_infil,Q_GW_infil,Q_BW_infil,c_sewer,Q_sewer,c_sewer_avg,V_sewer,Q_RW_sewer,Q_GW_sewer,Q_BW_sewer,c_truck_avg,V_truck,Q_GW_empty,Q_BW_empty,n_GW_empty,n_BW_empty,Q_reuse,Q_refill,n_refill,Q_GW_prod,Q_BW_prod,Q_RW_out_all,Q_RW_use,Q_rain,Q_CW_use,Q_PW_use,Q_PGW_use,Water_balance,Pollutant_balance,Water_error,Pollutant_error
2014-01-01T00:11:17.889+01:00,0.996995298163313,10,0.996886086152108,0.00300470183668716,0.00311391384789177,70,70,70,250.29636551046,127.315265320048,1.99864030762565,0.000540763977618114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132626436249526,0.00137755552559531,0,0,0,0,0.00132626436249526,0.00137755552559531,-1.38127356774653e-16,6.56627530126741e-14,-1.38127356774653e-16,6.56627530126741e-14
2014-01-01T00:37:35.778+01:00,0.996021206912514,10,0.995867333423214,0.00397879308748579,0.00413266657678592,70,70,70,249.30836551144,131.523737268198,1.99819745340794,0.000398568795938555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974091250798627,0.00101875272889415,0,0,0,0,0.000974091250798627,0.00101875272889415,-4.52112305926455e-16,1.17822418488345e-14,-3.13984949151802e-16,-5.38805111638396e-14
2014-01-01T01:03:53.667+01:00,0.995402102297806,10,0.995192171805184,0.00459789770219367,0.00480782819481635,70,70,70,248.289613383849,136.859628963817,1.99790983868955,0.000258853246547663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000619104614707881,0.000675161618030431,0,0,0,0,0.000619104614707881,0.000675161618030431,-3.68628738645072e-18,-1.96370697480575e-14,4.48426018540005e-16,-3.14193115968919e-14
2014-01-01T01:30:11.556+01:00,0.99513498881343,10,0.994840267773484,0.00486501118656959,0.00515973222651637,70,70,70,247.786682518576,143.755898446272,1.99777227924154,0.000123803503215189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267113484375922,0.000351904031700023,0,0,0,0,0.000267113484375922,0.000351904031700023,6.77192676934446e-16,2.45914399954472e-14,6.80878964320897e-16,4.42285097435047e-14
2014-01-01T01:56:29.445+01:00,0.995076317092462,10,0.994652145326118,0.00492368290753752,0.00534785467388233,70,70,70,247.615018272427,151.448964106953,1.99771743609302,4.93588336667784e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86717209679362e-05,0.000188122447365956,0,0,0,0,5.86717209679362e-05,0.000188122447365956,6.26885696131119e-16,-7.74380559676047e-15,-5.03069808033274e-17,-3.23352455922077e-14
2014-01-01T02:22:47.334+01:00,0.995076314765777,10,0.994546220690288,0.00492368590359809,0.00545377864033612,70,70,70,247.615044706688,159.578039530163,1.99769389676801,2.11853925028708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.996060569e-09,0.000105923966453785,0,0,0,0,2.326684991e-09,0.000105924635829363,2.64328489651966e-16,1.73194791841524e-14,-3.62557206479153e-16,2.50632847809129e-14
2014-01-01T02:49:05.223+01:00,0.995039414907486,10,0.99436813050833,0.00496058576188961,0.00563186882229443,70,70,70,247.66457593665,166.469670444064,1.99764612120351,4.29980080499661e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6899858291512e-05,0.000178090181958318,0,0,0,0,3.6899858291512e-05,0.000178090181958318,-5.13694989323632e-16,2.94625435159901e-14,-7.78023478975598e-16,1.21430643318376e-14
2014-01-01T03:15:23.112+01:00,0.994984151961797,10,0.994171079733524,0.00501767905565625,0.00582708924902292,70,70,70,247.793386680854,172.709687538887,1.99759005148785,5.0462744099027e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70932937666444e-05,0.000195220426728491,0,0,0,0,5.52629456891548e-05,0.00019705077480598,1.85398571495021e-16,-8.42381719934338e-15,6.99093560818653e-16,-3.78863607153335e-14
2014-01-01T03:41:41.001+01:00,0.994931377764648,10,0.994002824311795,0.00507292291366507,0.00599287500989143,70,70,70,247.975828125415,178.955490488545,1.99754093379477,4.42059237754666e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52438580088249e-05,0.000165785760868508,0,0,0,0,5.27741971484817e-05,0.000168255421728851,-8.79721642754738e-16,7.97834021071253e-14,-1.06512021424976e-15,8.82072193064687e-14
2014-01-01T04:07:58.890+01:00,0.994814536435685,10,0.993841158873609,0.00518976424262815,0.00615454044807785,70,70,70,248.0776091754,184.925192896251,1.99747904340207,5.57013534298985e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116841328963079,0.000161665438186413,0,0,0,0,0.000116841328963079,0.000161665438186413,9.34582272682505e-17,1.27953203588049e-14,9.73179870022989e-16,-6.69880817483204e-14
