Time,Water_balance,Pollutant_balance,BW_V,BW_c,GW_V,GW_c,RW_V,RW_c,Q_MBRBW,Q_MBRGW,C_battery_charge,E_use_renewable,E_use_grid,Q_Infiltration,c_Infiltration,Q_Truck,c_Truck,Q_CityWater,Q_Roof,Q_BS,Q_BT,Q_CL,Q_DW,Q_GA,Q_KS,Q_SH,Q_TL,Q_WM,Q_RW_infil_Infiltrate,Q_GW_infil_Treat,Q_BW_infil_Treat,Q_RainRefillControl_Tap,Q_GW_empty_Truck,Q_BW_empty_Truck
2015-01-01T00:00:00.000+01:00,-2.806999424564971e-16,-1.2526438220028524e-14,0.0008798876606486737,127.61543354383953,0.0005101001372677273,265.2682361330571,9.999120112339352,70.0,0.0,0.0,1.999847241725582,0.00013748244697635528,0.0,0.0,0.0,0.0,0.0,0.0005101001372677273,0.0,0.0,0.000010930670758243648,0.000060416668467223644,0.00005313233196735381,0.0,0.0003950273376703262,0.0000510097968718037,0.00081947099218145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T00:15:00.000+01:00,-9.020562075079397e-16,1.2506662372402388e-13,0.001634771234523505,130.10939869246719,0.001241022975887172,255.78790131080508,9.998365228765478,69.99999999999999,0.0,0.0,1.999716185549562,0.00011795055841794237,0.0,0.0,0.0,0.0,0.0,0.0007309228386194446,0.0,0.0002858450541272759,0.000012563990789931268,0.000060416668467223644,0.000044326197132468216,0.0,0.00032955563955008985,0.000058631957019679245,0.0006944669054076075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T00:30:00.000+01:00,-1.5595164049031496e-15,-1.626199175319698e-13,0.0022684823048952967,132.9521375943761,0.0018519906134530902,253.01513552483866,9.997731517695107,70.0,0.0,0.0,1.9996061662665115,0.00009901735474559244,0.0,0.0,0.0,0.0,0.0,0.0006109676375659182,0.0,0.00024010983338579534,0.00002110751326661557,0.000060416668467223644,0.000029787200689315794,0.0,0.0002214613616466522,0.00009850172857753932,0.000573294401904568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T00:45:00.000+01:00,-2.815456201510358e-15,-8.701372955499664e-14,0.0027982627911679448,136.02247667732915,0.002353635534779168,251.29160936698328,9.997201737208835,69.99999999999999,0.0,0.0,1.9995141904876448,0.00008277820098010124,0.0,0.0,0.0,0.0,0.0,0.0005016449213260785,0.0,0.00020009151775389909,0.000028583089630119503,0.000060416668467223644,0.00001654844811186194,0.0,0.00012303411422297358,0.00013338775160722432,0.00046936381780542433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:00:00.000+01:00,-4.064023423344665e-15,-5.0535964302156347e-14,0.003211061543901451,139.68602848244255,0.0027381925907079128,250.02169249113033,9.996788938456103,69.99999999999997,0.0,0.0,1.9994425240375176,0.00006449980511461035,0.0,0.0,0.0,0.0,0.0,0.0003845570559287444,0.0,0.00015771188750863074,0.00003053050294518471,0.000060416668467223644,0.000006382972456049173,0.0,0.000047456012608017773,0.00014247568041086196,0.0003523820842662826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:15:00.000+01:00,-5.531599484021044e-15,-6.079858838603514e-14,0.0035171758034080269,143.95618381223464,0.0030016899502303565,249.10972202838483,9.996482824196598,69.99999999999997,0.0,0.0,1.9993893792007978,0.00004783035304790246,0.0,0.0,0.0,0.0,0.0,0.0002634973595224437,0.0,0.0001133437759708613,0.00002566195600200444,0.000060416668467223644,5.614647221227642e-7,0.0,0.000004174368151434465,0.00011975579467602073,0.0002456975910393521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:30:00.000+01:00,-5.67471417078913e-15,-8.854028621385623e-14,0.003718521372729447,149.02293076133803,0.0031548242329168709,248.62577151600153,9.996281478627277,69.99999999999997,0.0,0.0,1.9993544233727907,0.00003146024520647188,0.0,0.0,0.0,0.0,0.0,0.00015313428268651474,0.0,0.00006698716803919523,0.0000152024319965858,0.000060416668467223644,0.0,0.0,0.0,0.00007094468265073373,0.00014092890085419638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:45:00.000+01:00,-6.151763126682752e-15,-2.001454557643001e-13,0.003871134524147492,154.3064743018738,0.0032474076271968076,248.31903454186895,9.996128865475859,69.99999999999997,0.0,0.0,1.9993279280340029,0.000023845804909069554,0.0,0.0,0.0,0.0,0.0,0.00009258339427993633,0.0,0.00004523807776626199,0.000008355055855354293,0.000060416668467223644,0.0,0.0,0.0,0.00003899026065832004,0.00009219648295082152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:00:00.000+01:00,-7.497908544040755e-15,-6.697420396051257e-14,0.003964598230469856,160.14689324945074,0.0032628184062932265,248.20960372815487,9.996035401769538,69.99999999999996,0.0,0.0,1.9993117016960998,0.000014603704112869308,0.0,0.0,0.0,0.0,0.0,0.00001541077909641899,0.0,0.00001541077909641899,0.0,0.000060416668467223644,0.0,0.0,0.0,0.0,0.00003304703785513993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:15:00.000+01:00,-9.213983742650811e-15,-1.6592283103022964e-13,0.004025015388837077,166.29890136947459,0.003262820115193216,248.2096261693101,9.995974984229373,69.99999999999996,0.0,0.0,1.9993012125398207,0.000009440240651127866,0.0,0.0,0.0,0.0,0.0,1.3270999919345884e-9,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10,0.0,0.0,0.0,0.0,0.0,0.0
