Time,Water_balance,Pollutant_balance,BW_V,BW_c,RW_V,RW_c,C_battery_charge,E_use_renewable,E_use_grid,Q_Infiltration,c_Infiltration,Q_Sewer,c_Sewer,Q_CityWater,Q_Roof,Q_BS,Q_BT,Q_CL,Q_DW,Q_GA,Q_KS,Q_SH,Q_TL,Q_WM,Q_RW_infil_Infiltrate,Q_BW_infil_Treat,Q_RainRefillControl_Tap
2015-01-01T00:00:00.000+01:00,-2.806999424564971e-16,-1.2545520178264269e-14,0.0008798876606486737,127.61543354383953,9.999120112339352,70.0,1.999847241725582,0.00013748244697635528,0.0,0.0,0.0,0.0005101001372677273,279.2297222453233,0.0005101001372677273,0.0,0.0,0.000010930670758243648,0.000060416668467223644,0.00005313233196735381,0.0,0.0003950273376703262,0.0000510097968718037,0.00081947099218145,0.0,0.0,0.0,0.0
2015-01-01T00:15:00.000+01:00,-9.020562075079397e-16,1.2506662372402388e-13,0.001634771234523505,130.10939869246719,9.998365228765478,69.99999999999999,1.999716185549562,0.00011795055841794237,0.0,0.0,0.0,0.0007309228386194446,262.2860180720301,0.0007309228386194446,0.0,0.0002858450541272759,0.000012563990789931268,0.000060416668467223644,0.000044326197132468216,0.0,0.00032955563955008985,0.000058631957019679245,0.0006944669054076075,0.0,0.0,0.0,0.0
2015-01-01T00:30:00.000+01:00,-1.5592995644686525e-15,-1.6253665080512292e-13,0.0022684823048952967,132.9521375943761,9.997731517695107,70.0,1.9996061662665115,0.00009901735474559244,0.0,0.0,0.0,0.0006109676375659182,260.4031346166042,0.0006109676375659182,0.0,0.00024010983338579534,0.00002110751326661557,0.000060416668467223644,0.000029787200689315794,0.0,0.0002214613616466522,0.00009850172857753932,0.000573294401904568,0.0,0.0,0.0,0.0
2015-01-01T00:45:00.000+01:00,-2.8150225206413639e-15,-8.693046282814976e-14,0.0027982627911679448,136.02247667732915,9.997201737208835,69.99999999999999,1.9995141904876448,0.00008277820098010124,0.0,0.0,0.0,0.0005016449213260785,257.819614759884,0.0005016449213260785,0.0,0.00020009151775389909,0.000028583089630119503,0.000060416668467223644,0.00001654844811186194,0.0,0.00012303411422297358,0.00013338775160722432,0.00046936381780542433,0.0,0.0,0.0,0.0
2015-01-01T01:00:00.000+01:00,-4.064023423344665e-15,-5.0182080713057078e-14,0.003211061543901451,139.68602848244255,9.996788938456103,69.99999999999997,1.9994425240375176,0.00006449980511461035,0.0,0.0,0.0,0.0003845570559287444,254.9992820140069,0.0003845570559287444,0.0,0.00015771188750863074,0.00003053050294518471,0.000060416668467223644,0.000006382972456049173,0.0,0.000047456012608017773,0.00014247568041086196,0.0003523820842662826,0.0,0.0,0.0,0.0
2015-01-01T01:15:00.000+01:00,-5.531599484021044e-15,-6.061817714453355e-14,0.0035171758034080269,143.95618381223464,9.996482824196598,69.99999999999997,1.9993893792007978,0.00004783035304790246,0.0,0.0,0.0,0.0002634973595224437,252.24502533417314,0.0002634973595224437,0.0,0.0001133437759708613,0.00002566195600200444,0.000060416668467223644,5.614647221227642e-7,0.0,0.000004174368151434465,0.00011975579467602073,0.0002456975910393521,0.0,0.0,0.0,0.0
2015-01-01T01:30:00.000+01:00,-5.6751478516581248e-15,-8.837375276016246e-14,0.003718521372729447,149.02293076133803,9.996281478627277,69.99999999999997,1.9993544233727907,0.00003146024520647188,0.0,0.0,0.0,0.00015313428268651474,251.7258169318181,0.00015313428268651474,0.0,0.00006698716803919523,0.0000152024319965858,0.000060416668467223644,0.0,0.0,0.0,0.00007094468265073373,0.00014092890085419638,0.0,0.0,0.0,0.0
2015-01-01T01:45:00.000+01:00,-6.151763126682752e-15,-1.999511667349907e-13,0.003871134524147492,154.3064743018738,9.996128865475859,69.99999999999997,1.9993279280340029,0.000023845804909069554,0.0,0.0,0.0,0.00009258339427993633,250.38612928214344,0.00009258339427993633,0.0,0.00004523807776626199,0.000008355055855354293,0.000060416668467223644,0.0,0.0,0.0,0.00003899026065832004,0.00009219648295082152,0.0,0.0,0.0,0.0
2015-01-01T02:00:00.000+01:00,-7.497908544040755e-15,-6.705747068735946e-14,0.003964598230469856,160.14689324945074,9.996035401769538,69.99999999999996,1.9993117016960998,0.000014603704112869308,0.0,0.0,0.0,0.00001541077909641899,237.0,0.00001541077909641899,0.0,0.00001541077909641899,0.0,0.000060416668467223644,0.0,0.0,0.0,0.0,0.00003304703785513993,0.0,0.0,0.0,0.0
2015-01-01T02:15:00.000+01:00,-9.214417423519805e-15,-1.6575629757653587e-13,0.004025015388837077,166.29890136947459,9.995974984229373,69.99999999999996,1.9993012125398207,0.000009440240651127866,0.0,0.0,0.0,1.70889998961421e-9,306.3755047106326,1.3270999919345884e-9,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10,0.0,0.0,0.0
2015-01-01T02:30:00.000+01:00,-1.0930926302998856e-14,-1.511013536514838e-13,0.004085432547204298,172.26895233095065,9.995914566689207,69.99999999999995,1.9992907233835416,0.000009440240651127866,0.0,0.0,0.0,1.70889998961421e-9,306.3755047106326,1.3270999919345884e-9,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10,0.0,0.0,0.0
2015-01-01T02:45:00.000+01:00,-1.0930058941260868e-14,-3.963496197911809e-13,0.004182248883185429,177.3420652098733,9.995817750353226,69.99999999999996,1.9992739149918782,0.00001512755249705151,0.0,0.0,0.0,0.000018718205291370396,269.0853108443837,0.000018718205291370396,0.0,0.0000044740860542515299,3.1436400400707495e-7,0.000060416668467223644,0.00000147753935016226,0.0,0.000010985183864249849,0.000001467032018699683,0.00003639966751390602,0.0,0.0,0.0,0.0
