Time,V_PW,V_RW,V_PGW,V_GW,V_BW,c_PW,c_RW,c_PGW,c_GW,c_BW,C_battery_charge,E_use_renewable,E_use_grid,Q_ROPW,Q_MBRGW,Q_MBRBW,Q_ROGWBW,c_infil,Q_infil,c_infil_avg,V_infil,Q_RW_infil,Q_GW_infil,Q_BW_infil,c_sewer,Q_sewer,c_sewer_avg,V_sewer,Q_RW_sewer,Q_GW_sewer,Q_BW_sewer,c_truck_avg,V_truck,Q_GW_empty,Q_BW_empty,n_GW_empty,n_BW_empty,Q_reuse,Q_refill,n_refill,Q_GW_prod,Q_BW_prod,Q_RW_out_all,Q_RW_use,Q_rain,Q_CW_use,Q_PW_use,Q_PGW_use,Water_balance,Pollutant_balance,Water_error,Pollutant_error
2014-01-01T07:12:04.113+01:00,0,2.25,0.988223778682743,0.0207834236869077,0.0115649327534753,0,70,70,250.748851784002,173.30936754331,1.9973830619295,0.000439909395045382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718710050279857,0.00203504623521649,0,0,0,0.00702259976278815,0,0.00219954697522691,2.7300210703185e-16,-6.9111383282916e-15,4.68375338513738e-17,2.97539770599542e-14
2014-01-01T07:38:22.002+01:00,0,2.25,1,0.0138197998227581,0.0157367140094415,0,70,72.8080353413569,255.30025133309,171.532634992547,1.96202151991563,0.031825387812479,0,0,0.0168377497910988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151539748119889,0,0,0.00987412592694916,0.00248800627685634,0,0,0,0.0089843787090738,0,0.0033777534947317,2.59124319224036e-16,-9.63118473862323e-15,-1.38777878078145e-17,-2.72004641033163e-15
2014-01-01T08:04:39.891+01:00,0,2.25,1,0.0201929600798188,0.0188620622439387,0,70,73.6423142653671,264.726331086094,165.899991778683,1.95112705479018,0.00980501861290543,0,0,0.00483005843000268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00434705258700241,0,0,0.0112032186870634,0.00264234239149696,0,0,0,0.00949850849155801,0,0.00434705258700238,2.83410447887711e-16,-3.00592883917261e-14,2.42861286636753e-17,-2.04281036531029e-14
2014-01-01T08:30:57.780+01:00,0,2.25,1,0.0255112322483902,0.0217241876748466,0,70,74.5928560345371,273.676840840637,163.256838697166,1.93921800086087,0.0107181485363838,0,0,0.00527987612629745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047518885136677,0,0,0.0105981482948688,0.00233413781827814,0,0,0,0.0081803975994792,0,0.00475188851366776,2.20960402752546e-16,4.57966997657877e-15,-6.24500451351651e-17,3.46389583683049e-14
2014-01-01T08:57:15.669+01:00,0,2.25,1,0.0291171518343169,0.0240019814003064,0,70,75.527959679248,282.198567517087,162.807666201934,1.92803207129121,0.0101595385106983,0,0,0.005004698773743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045042288963687,0,0,0.00861061835966966,0.00177732384808555,0,0,0,0.00588371331138649,0,0.00450422889636871,2.14021508848639e-16,-5.19029264012261e-15,-6.93889390390723e-18,-9.76996261670138e-15
2014-01-01T09:23:33.558+01:00,0,2.25,1,0.0312816481509512,0.0257169219972141,0,70,76.3246260183205,289.056861028348,163.403046385796,1.9189858975393,0.00841537223142086,0,0,0.00414550356227629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373095320604866,0,0,0.00630999987891059,0.00130039024068,0,0,0,0.00387943691354194,0,0.00373095320604865,2.14021508848639e-16,-1.07414077632484e-14,0,-5.55111512312578e-15
2014-01-01T09:49:51.447+01:00,0,2.25,1,0.0325646815741403,0.0269693774873915,0,70,76.8912916952924,293.058150936405,164.281901689156,1.9189858975393,0.00589731522301321,0,0,0.0029050813906469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261457325158221,0,0,0.00418811481383608,0.000961947351112764,0,0,0,0.00253548891336659,0,0.00261457325158225,1.72388145425195e-16,-1.89570581454745e-14,-4.16333634234434e-17,-8.21565038222616e-15
2014-01-01T10:16:09.336+01:00,0,2.25,1,0.0339003577560135,0.0280581826666589,0,70,77.3464586512467,295.006004172895,165.11745897215,1.98663857201215,0.00470694683795564,0,0,0.00231869302362347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208682372126112,0,0,0.00365436920549667,0.000856935876905057,0,0,0,0.00242448136114062,0,0.0020868237212611,2.00143721040824e-16,-2.31759056390501e-14,2.77555756156289e-17,-4.21884749357559e-15
2014-01-01T10:42:27.225+01:00,0,2.25,1,0.0356906287248034,0.0290587571319108,0,70,77.7281039144902,295.21826167295,165.870299880032,1.9945044967449,0.00395104865256237,0,0,0.00194632938549871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175169644694884,0,0,0.00373660035428852,0.000805941526701979,0,0,0,0.0027908454340417,0,0.0017516964469488,2.41777084464267e-16,-1.94011473553246e-14,4.16333634234434e-17,3.77475828372553e-15
2014-01-01T11:08:45.114+01:00,0,2.25,1,0.0376523090597271,0.0300074946704547,0,70,78.1108218654654,295.53606724518,166.699267890254,2,0.00396331514850223,0,0,0.00195237199433608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175713479490247,0,0,0.00391405232925983,0.000753500339110335,0,0,0,0.00291041787346773,0,0.00175713479490243,2.97288235695525e-16,-2.96984659087229e-15,5.55111512312578e-17,1.64313007644523e-14
2014-01-01T11:35:03.003+01:00,0,2.25,1,0.0391916038970584,0.0308794189228226,0,70,78.5165414010667,297.093620756754,167.718538632602,2,0.00417897185147072,0,0,0.0020586068233846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185274614104614,0,0,0.00359790166071586,0.000666063570029399,0,0,0,0.00241121908969914,0,0.00185274614104612,3.1116602350334e-16,-3.05311331771918e-16,1.38777878078145e-17,2.66453525910038e-15
2014-01-01T12:01:20.892+01:00,0,2.25,1,0.040160447837755,0.0317086251246949,0,70,78.9214200527778,299.321796033615,168.779900608084,2,0.00413589021562275,0,0,0.00203738434267131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183364590840418,0,0,0.00300622828336796,0.000625467767605185,0,0,0,0.00179805014256901,0,0.00183364590840413,3.52799386926783e-16,3.46944695195361e-15,4.16333634234434e-17,3.77475828372553e-15
2014-01-01T12:27:38.781+01:00,0,2.25,1,0.040817008606068,0.0325112245408987,0,70,79.2546762603667,300.660599729107,169.650919143279,2,0.00338991914531138,0,0,0.00166991090902038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150291981811834,0,0,0.00232647167733333,0.000635608325301796,0,0,0,0.00145916018451676,0,0.00150291981811837,3.25043811311154e-16,2.58126853225349e-15,-2.77555756156289e-17,-8.88178419700125e-16
2014-01-01T12:53:56.670+01:00,0,2.25,1,0.0413041194975905,0.0333085479019831,0,70,79.5371539982078,301.274367195656,170.35916647704,2,0.00286976451603981,0,0,0.00141367710149745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012723093913477,0,0,0.00190078799302002,0.000655955650934656,0,0,0,0.00128443425260701,0,0.00127230939134767,3.66677174734598e-16,-1.29618538124987e-14,4.16333634234434e-17,-1.55431223447522e-14
2014-01-01T13:20:14.559+01:00,0,2.25,1,0.0416612321322369,0.0342507303802603,0,70,79.922396952183,302.920500849663,171.032179838813,2,0.00388989106540438,0,0,0.0019162024952731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172458224574579,0,0,0.00227331512991945,0.000750562228749897,0,0,0,0.00129929511292358,0,0.00172458224574576,3.94432750350227e-16,-1.5404344466674e-14,2.77555756156289e-17,-2.44249065417534e-15
2014-01-01T13:46:32.448+01:00,0,2.25,1,0.0419361514473425,0.0352794208528084,0,70,80.4292263348455,305.927741667017,171.83133841926,2,0.005058207058003,0,0,0.00249172761477981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224255485330183,0,0,0.00276664692988546,0.000779517711070055,0,0,0,0.00130360978765371,0,0.0022425548533018,4.08310538158041e-16,6.13398221105399e-15,1.38777878078145e-17,2.1538326677728e-14
2014-01-01T14:12:50.337+01:00,0,2.25,1,0.0423955078847427,0.0362625150263497,0,70,80.9132604116108,308.312438130586,172.62796397132,2,0.00479090031390619,0,0,0.00236004941571734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021240444741456,0,0,0.00281940585311754,0.000747089231969605,0,0,0,0.00144245061094158,0,0.00212404447414557,4.49943901581484e-16,-4.52415882534751e-15,4.16333634234434e-17,-1.06581410364015e-14
2014-01-01T14:39:08.226+01:00,0,2.25,1,0.0432396597335465,0.0371157624440087,0,70,81.2402987117131,308.399701335622,173.244736931035,2,0.00324262427105133,0,0,0.00159735185766076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143761667189468,0,0,0.00244150370646453,0.000693512231892852,0,0,0,0.00169739926646272,0,0.00143761667189466,4.63821689389299e-16,-1.5182299861749e-14,1.38777878078145e-17,-1.06581410364015e-14
2014-01-01T15:05:26.115+01:00,0,2.25,1,0.0441762761730583,0.0379458738406178,0,70,81.4728427288528,307.1992015691,173.653560128345,2,0.00232128915098177,0,0,0.00114349219260185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102914297334167,0,0,0.00208010863211363,0.000715762177348947,0,0,0,0.00176672783612087,0,0.00102914297334172,4.08310538158041e-16,-9.71445146547012e-16,-5.55111512312578e-17,1.4210854715202e-14
2014-01-01T15:31:44.004+01:00,0,2.25,1,0.0448249145196564,0.0389811705017729,0,70,81.7802572862393,306.730231790994,173.866362787968,2,0.00307821472875476,0,0,0.00151636193534717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136472574181246,0,0,0.00216500028194527,0.000883660467620411,0,0,0,0.00168393500775321,0,0.00136472574181247,4.08310538158041e-16,-1.02973185533983e-14,0,-9.32587340685131e-15
2014-01-01T15:58:01.893+01:00,0,2.25,1,0.0451894757283931,0.040205499342726,0,70,82.2128892152309,307.641911958236,174.041908812793,2,0.00432045604361093,0,0,0.00212830346975908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191547312278317,0,0,0.00249286467849582,0.00101149849397716,0,0,0,0.00158889004968983,0,0.00191547312278315,4.22188325965855e-16,-3.19189119579733e-15,1.38777878078145e-17,7.105427357601e-15
2014-01-01T16:24:19.782+01:00,0,2.25,1,0.0457062720719011,0.0413926859676554,0,69.922324115258,82.6703300394057,308.78549431402,174.335247079533,1.99500911419093,0.00455387442738536,0,0,0.00224328789526372,0,0,69.922324115258,0.00280881087542963,69.922324115258,0.00280881087542963,0.00280881087542963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201895910573735,0,0,0.00276008423877169,0.000962857835403062,0,0,0.00280881087542963,0.00170398296843739,0,0.00201895910573736,4.1438207032396e-16,-2.72004641033163e-14,-7.80625564189563e-18,-2.4008572907519e-14
2014-01-01T16:50:37.671+01:00,0,2.25,1,0.0466981896256599,0.0425299067460254,0,69.844329419184,83.1009523855751,309.133009562503,174.645932304293,1.99024358712781,0.00428897435680803,0,0,0.00211279524965913,0,0,69.844329419184,0.00282387898955068,69.8832224446851,0.00563268986498031,0.00282387898955068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190151572469321,0,0,0.00310471280341791,0.00092594125340406,0,0,0.00282387898955068,0.00212913833212875,0,0.00190151572469321,4.16984155537925e-16,-5.22637488842292e-14,2.60208521396521e-18,-2.50632847809129e-14
2014-01-01T17:16:55.560+01:00,0,2.25,1,0.0481090102621273,0.0437461565376785,0,69.6985902002426,83.5003137213447,308.348198394235,174.763012140002,1.98580016528541,0.00399907965815772,0,0,0.00196998997938803,0,0,69.6985902002425,0.00528904353404157,69.793810998446,0.0109217333990219,0.00528904353404157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177299098144923,0,0,0.00338081061585545,0.0010192507937143,0,0,0.00528904353404157,0.00262707042812047,0,0.00177299098144928,3.5973828083069e-16,-3.6276537329627e-14,-5.72458747072346e-17,1.59872115546023e-14
