Time,Water_balance,Pollutant_balance,BW_V,BW_c,GW_V,GW_c,PGW_V,PGW_c,PW_V,PW_c,RW_V,RW_c,Q_MBRBW,Q_MBRGW,Q_ROGWBW,Q_ROPW,C_battery_charge,E_use_renewable,E_use_grid,Q_Infiltration,c_Infiltration,Q_Truck,c_Truck,Q_CityWater,Q_Roof,Q_BS,Q_BT,Q_CL,Q_DW,Q_GA,Q_KS,Q_SH,Q_TL,Q_WM,Q_RWPW_Treat,Q_CWPW_Fill,Q_RW_infil_Purge,Q_RW_infil_Infiltrate,Q_GW_infil_Treat,Q_BW_infil_Treat,Q_Purge_Purge,Q_Purge_Infiltrate,Q_GWPGW_emptyGW_Treat,Q_GWPGW_emptyGW_Treat,Q_GWPGW_refillPGW_Treat,Q_GWPGW_refillPGW_Treat,Q_BWPGW_Treat,Q_BWPGW_Treat,Q_RWPGW_Treat,Q_RainRefillControl_Tap,Q_GW_empty_Truck,Q_BW_empty_Truck
2015-01-01T00:00:00.000+01:00,-1.0061396160665481e-16,-8.3995310706797e-15,0.0008798876606486737,127.61543354383953,0.0008344721334730274,249.6736682419102,0.999005039539754,70.0,0.9992806006661245,70.0,10.0,70.0,0.0,0.0,0.0,0.0,1.9997023680912983,0.0002678687178315158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032437199620530006,0.000010930670758243648,0.000060416668467223644,0.00005313233196735381,0.0,0.0003950273376703262,0.0000510097968718037,0.00081947099218145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T00:15:00.000+01:00,2.949029909160572e-17,-7.979727989493313e-15,0.001634771234523505,130.10939869246719,0.0015653949720924718,249.43929448319885,0.9981346338209369,70.0,0.9986651999724471,70.00000000000002,10.0,70.0,0.0,0.0,0.0,0.0,1.999444415589129,0.00023215725195223057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002858450541272759,0.000012563990789931268,0.000060416668467223644,0.000044326197132468216,0.0,0.00032955563955008985,0.000058631957019679245,0.0006944669054076075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T00:30:00.000+01:00,8.326672684688674e-17,9.256484467812243e-15,0.0022684823048952967,132.95213759437613,0.00217636260965839,248.86202721714637,0.9973515263080317,69.99999999999999,0.9982036287774145,70.0,10.0,70.0,0.0,0.0,0.0,0.0,1.9992283255356678,0.00019448104811526718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024010983338579534,0.00002110751326661557,0.000060416668467223644,0.000029787200689315794,0.0,0.0002214613616466522,0.00009850172857753932,0.000573294401904568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T00:45:00.000+01:00,6.418476861114186e-17,8.923417560424696e-15,0.0027982627911679448,136.02247667732918,0.0026780075309844684,248.12522319507048,0.9966432265324099,69.99999999999999,0.9978805031454376,70.0,10.0,70.0,0.0,0.0,0.0,0.0,1.9990492586246265,0.000161160219937301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020009151775389909,0.000028583089630119503,0.000060416668467223644,0.00001654844811186194,0.0,0.00012303411422297358,0.00013338775160722432,0.00046936381780542433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:00:00.000+01:00,6.071532165918825e-17,2.2967738821932927e-14,0.003211061543901451,139.68602848244258,0.0030625645869132129,247.38740338035479,0.9960510386238644,69.99999999999997,0.9976753352453209,70.00000000000002,10.0,70.0,0.0,0.0,0.0,0.0,1.9989108287967339,0.00012458684510347666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015771188750863074,0.00003053050294518471,0.000060416668467223644,0.000006382972456049173,0.0,0.000047456012608017773,0.00014247568041086196,0.0003523820842662826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:15:00.000+01:00,6.158268339717665e-17,3.0683788843077767e-14,0.0035171758034080269,143.95618381223466,0.0033260619464356565,246.7730659504065,0.9955989451489576,69.99999999999997,0.9975578171011986,70.0,10.0,70.0,0.0,0.0,0.0,0.0,1.9988119378906527,0.00008900181547328429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001133437759708613,0.00002566195600200444,0.000060416668467223644,5.614647221227642e-7,0.0,0.000004174368151434465,0.00011975579467602073,0.0002456975910393521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:30:00.000+01:00,1.0928757898653885e-16,3.36952687973735e-14,0.003718521372729447,149.02293076133808,0.003479196229122171,246.4370812646827,0.9953114524649889,69.99999999999997,0.9974908299331594,70.0,10.0,70.0,0.0,0.0,0.0,0.0,1.998750396249679,0.00005538747687623981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00006698716803919523,0.0000152024319965858,0.000060416668467223644,0.0,0.0,0.0,0.00007094468265073373,0.00014092890085419638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T01:45:00.000+01:00,1.1796119636642289e-16,3.6887159993170829e-14,0.003871134524147492,154.30647430187387,0.0035717796234021076,246.21493328790155,0.9951114939970571,69.99999999999997,0.9974455918553932,70.0,10.0,70.0,0.0,0.0,0.0,0.0,1.99870782740494,0.000038311960265309604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00004523807776626199,0.000008355055855354293,0.000060416668467223644,0.0,0.0,0.0,0.00003899026065832004,0.00009219648295082152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:00:00.000+01:00,7.719519468096792e-17,4.193867475521529e-14,0.003964598230469856,160.14689324945079,0.0035871904024985265,246.12443710644588,0.9950180302907348,69.99999999999997,0.9974301810762968,69.99999999999999,10.0,70.0,0.0,0.0,0.0,0.0,1.9986889255845549,0.000017011638346684773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00001541077909641899,0.0,0.000060416668467223644,0.0,0.0,0.0,0.0,0.00003304703785513993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T02:15:00.000+01:00,1.9081958235744879e-17,5.4012350148013868e-14,0.004025015388837077,166.29890136947464,0.003587192111398516,246.1244585117098,0.9949576120329675,69.99999999999997,0.9974301804667969,69.99999999999997,10.0,70.0,0.0,0.0,0.0,0.0,1.9986784361978767,0.000009440448010501606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1619999868605076e-10,1.1729999928711264e-10,0.000060416668467223644,5.289999967850178e-11,0.0,3.9329999760973066e-10,5.473999966731924e-10,4.89899997022647e-10,3.817999976796216e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
